,N° de contrat,Société,Nombre de clients non agrégés,Nombre de clients agrégés,Total des clients,Nombre de prospects non agrégés,Nombre de prospects agrégés,Total des prospects,Total des clients et prospects non agrégés,Total des clients et prospects agrégés,Total des clients et prospects,Signature@ - Accès,Signature@ - Nombre signé,GED - Accès,GED - Nombre d'unités utilisées,Nombre de comptes agrégés,Nombre de supports agrégés,Encours agrégé en €,Nombre de connexion,Temps de connexion (H),Nombre de connexion (3 mois),Temps de connexion (H) (3 mois),Nombre de connexion (6 mois),Temps de connexion (H) (6 mois),Nombre de connexion (année),Temps de connexion (H) (année),Type de contrat,Elearning 1,Encours (Assurances - Fonds Euro),Encours (Assurances - hors Fonds Euro),Encours (Produits hors assurances),Date,MoneyPitch - Accès,MoneyPitch - Nombre client connectés,MoneyPitch - Nombre d'accès MoneyPitch ouvert,Facturable à l'encours,Salesforce,Total des emails expédiés aux contacts agrégés,Total des emails expédiés aux contacts non agrégés,Taux de complétude moyens,Profils V2,Profils V3,Nombre de projets/parcours,Mise à jour RIC,Conformité contacts,Conformité comptes,Personnes morales,MoneyPitch - Nombre d'accès,MoneyPitch - Nombre de comptes agrégés,MoneyPitch - Encours comptes courants,MoneyPitch - Encours livrets,MoneyPitch - Encours Compte titres,MoneyPitch - Encours assurance,MoneyPitch - Encours epargne salariale,MoneyPitch - Nombre consultation,MoneyPitch - MoneyPitch à facturer,MoneyPitch - Nombre d'accès avec agrégation de comptes,Consultation tuto O2S,O2S - Nombre d'accès (hors administrateur),MoneyPitch - Accès - MP,MoneyPitch - Nombre client connectés - MP,MoneyPitch - Nombre d'accès MoneyPitch ouvert - MP,MoneyPitch - Nombre d'accès MoneyPitch ouvert sans agrégation - MP,MoneyPitch - Nombre d'accès MoneyPitch ouvert avec agrégation - MP,MoneyPitch - MoneyPitch à facturer - MP sans agrégation,MoneyPitch - MoneyPitch à facturer - MP avec agrégation,Segmentation,O2S - Nombre d'accès gratuit,Signature@ - Nombre de signature gratuite,GED - Nombre d'unité gratuite,Signature@ - Nombre de signatures à facturer,TOTAL SE périodes gratuites,MoneyPitch - MoneyPitch gratuit - MP sans agrégation,MoneyPitch - MoneyPitch gratuit - MP avec agrégation,MoneyPitch - Accès gratuits résiliés,MoneyPitch - Accès résiliés - MP Premium,Churner,Signature@ - Nombre de signature - A facturer ,MoneyPitch - Nombre client connectés - MP Premium,Nombre d'accès MoneyPitch Premium ouverts,Nombre d'accès MoneyPitch Premium ouverts sans agrégation,Nombre d'accès MoneyPitch Premium ouverts avec agrégation,MoneyPitch - MoneyPitch à facturer - MP Premium sans agrégation,MoneyPitch - MoneyPitch gratuit - MP Premium sans agrégation,MoneyPitch - MoneyPitch à facturer - MP Premium avec agrégation,MoneyPitch - MoneyPitch gratuit - MP Premium avec agrégation,MoneyPitch - Accès - MoneyPitch,MoneyPitch - Nombre client connectés - MoneyPitch,Nombre d'accès MoneyPitch ouverts,MoneyPitch - MoneyPitch à facturer - MoneyPitch,MoneyPitch - Accès résiliés - MoneyPitch,MoneyPitch - Accès - MoneyPitch Starter,MoneyPitch - Nombre client connectés - MoneyPitch Starter,MoneyPitch - Nombre d'accès MoneyPitch ouvert - MoneyPitch Starter,MoneyPitch - MoneyPitch à facturer - MoneyPitch Starter,Nombre d'accès MoneyPitch Starter ouverts sur le mois (Flux),MoneyPitch Starter ouverts (stock),Accès convertis en MoneyPitch - MoneyPitch Starter,Accès convertis en Premium - MoneyPitch Starter,Projets suivis,Projet (autre statut),Nombre de parcours projet créés sur le mois (Flux),Projet (parcours en cours de création),Projet (parcours en cours de traitement),Projet (parcours suivi),Projet (parcours archivé),Projet (parcours fermé),Encours agrégé calcul cumul,Société : Nom de la société,Société : Employés,Société : Type de marché,Code client,Société : Commercial en charge de la société,Statut,Date de signature,Société : ID de la société,Date de résiliation,Date d'effet résiliation,Motif de résiliation,Société + N° Contrat,Taux de conformité des contacts en %,Taux de conformité des comptes en %,Temps moyen par connexion (H),jours_ouvrés,O2S - Nombre d'accès total,Temps de connexion moyen par jour ouvré et par utilisateur (H),Nombre de connexion moyenne par jour ouvré par utilisateur,Nombre de connexions moyennes par semaine par utilisateur,Nombre de projets par jour ouvré et par utilisateur,Nombre de projets suivis par contacts agrégés,Nombre de projets suivis par utilisateur,Encours moyen par clients agrégés et prospects agrégés,Nombre de clients agrégés et non agrégés par utilisateur,Nombre de signatures à facturer par jour ouvré et par utilisateur,Ratio nombre de profils (V2 et V3) par rapport aux nombres de clients agrégés et non agrégés,Nombre de profils par utilisateur,Profils V2 + V3,Proportion des contacts agrégés,Nombre de comptes par contact agrégé,Nombre de supports par compte,Part des contacts agrégés avec profils,Contacts par utilisateur,Total de l'encours MoneyPitch en €,Taux d'utilisation MoneyPitch Premium en %,Taux d'utilisation MoneyPitch en %,Nombre de MoneyPitch ouverts Premium + Normal,Taux d'utilisation de l'ensemble des MoneyPitch en %,Total des clients connectés MoneyPitch,Taux d'équipement MoneyPitch (en %),Taux de clients MoneyPitch actifs (en %),Encours moyen MP,Nombre d'accès MoneyPitch gratuits (TTL),Nombre d'accès MoneyPitch Premium  gratuits (PM),Nombre d'accès MoneyPitch Standard gratuits (STD),Utilise MoneyPitch,Utilisation O2S,Cabinets n'utilisant pas O2S,Entrant/Sortant - N0 / N1,Entrant ou Sortant - N0 / N1,Entité niveau 1,Entité niveau 2
4459,CR2009499,ACTIS PATRIMOINE,51.0,169.0,220.0,70.0,5.0,75.0,121.0,174.0,295.0,Illimité,,,0.9979459224268794,349.0,1749.0,222444609.6200002,132.0,393.4502777777778,380.0,1001.919722222222,680.0,1606.620277777778,972.0,2341.623611111111,,0.0,66714716.26000006,103934040.52,51795852.83999999,2021-01,,,,Oui,8502.0,6.0,12.0,55.254581,0.0,18.0,4.0,1.0,37.0,1.0,16.0,,20.0,8638.94,3048.5,130.19,49655.4,0.0,42.0,,2.0,1.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,2.0,,,,0.0,0.0,,,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,222444609.6200001,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,16.444444444444446,0.2865329512893982,2.9806839225589226,20.0,6.0,3.278752314814815,1.1,5.069124423963134,,,,1278417.2966666678,36.66666666666666,0.0166666666666666,0.0818181818181818,3.0,18.0,0.5898305084745763,2.005747126436781,5.011461318051576,0.1034482758620689,49.16666666666666,61473.03,75.0,100.0,5.0,80.0,4.0,1.69,80.0,30736.515,2.0,2.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4460,CR2009499,ACTIS PATRIMOINE,48.0,171.0,219.0,70.0,5.0,75.0,118.0,176.0,294.0,Illimité,,,1.024565966799855,351.0,1886.0,229980202.2999999,99.0,373.7780555555556,350.0,1089.853888888889,748.0,1883.883333333333,1071.0,2715.401666666667,,0.0,70538123.79000004,105492125.7399998,53949952.77000003,2021-02,,,,Oui,8502.0,5.0,2.0,55.612374,0.0,19.0,4.0,1.0,37.0,1.0,17.0,,43.0,345629.74,79044.20999999999,4200617.060000001,2852048.19,0.0,45.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,4.0,4.0,1.0,3.0,1.0,0.0,2.0,1.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,229980202.2999999,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,16.517857142857142,0.2849002849002849,3.775535914702582,20.0,6.0,3.11481712962963,0.8250000000000001,3.8018433179723514,,,,1306705.694886363,36.5,0.0,0.0867579908675799,3.1666666666666665,19.0,0.5986394557823129,1.9943181818181817,5.373219373219373,0.1079545454545454,49.0,7477339.200000001,100.0,100.0,5.0,100.0,5.0,1.7,100.0,2492446.4000000004,1.0,1.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4461,CR2009499,ACTIS PATRIMOINE,50.0,173.0,223.0,70.0,5.0,75.0,120.0,178.0,298.0,Illimité,,,1.070100989192724,360.0,2048.0,240523838.8400002,129.0,337.0277777777778,361.0,1105.354444444444,727.0,2022.379166666667,1200.0,3052.429444444444,,0.0,69884297.07000005,107276433.28,63363108.49000004,2021-03,,,,Oui,8502.0,7.0,19.0,58.157413,0.0,19.0,4.0,1.0,36.0,1.0,17.0,,49.0,94353.15000000002,29532.44,7454154.83,2872003.78,0.0,33.0,,4.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,6.0,,,,0.0,0.0,,,4.0,5.0,1.0,4.0,1.0,0.0,3.0,1.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,240523838.8400001,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.789473684210526,0.2777777777777778,2.6126184323858745,23.0,6.0,2.442230273752013,0.9347826086956522,4.953917050691245,,,,1351257.5215730348,37.16666666666666,0.0434782608695652,0.085201793721973,3.1666666666666665,19.0,0.5973154362416108,2.02247191011236,5.688888888888889,0.1067415730337078,49.66666666666666,10450044.2,80.0,100.0,6.0,83.33333333333334,5.0,2.01,83.33,2612511.05,1.0,1.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4462,CR2009499,ACTIS PATRIMOINE,50.0,177.0,227.0,70.0,5.0,75.0,120.0,182.0,302.0,Illimité,,,1.060943664051592,366.0,2101.0,258011261.2700001,157.0,413.3411111111111,385.0,1124.146944444444,767.0,2138.43,1357.0,3465.770555555555,,0.0,72135657.56000005,114709858.6099999,71165745.1,2021-04,,,,Oui,8502.0,13.0,0.0,58.996148,0.0,19.0,4.0,1.0,36.0,1.0,18.0,,49.0,90942.47999999992,29321.44,7924227.579999999,2881120.330000001,0.0,4.0,,4.0,1.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,5.0,,,,0.0,0.0,,,2.0,5.0,1.0,4.0,1.0,0.0,4.0,0.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,258011261.26999995,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.517241379310343,0.273224043715847,2.63274593064402,21.0,6.0,3.280485008818342,1.246031746031746,6.029185867895546,,,,1417644.2926923083,37.833333333333336,0.0396825396825396,0.0837004405286343,3.1666666666666665,19.0,0.6026490066225165,2.010989010989011,5.740437158469946,0.1043956043956044,50.333333333333336,10925611.83,40.0,100.0,6.0,50.0,3.0,1.99,50.0,2731402.9575,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4463,CR2009499,ACTIS PATRIMOINE,54.0,177.0,231.0,70.0,5.0,75.0,124.0,182.0,306.0,Illimité,,,1.105990883894265,366.0,2167.0,253877059.86,143.0,302.2997222222222,417.0,1085.859722222222,771.0,2211.3175,1441.0,3705.991111111111,,0.0,71125306.44000006,114999786.9899999,67751966.43000002,2021-05,,,,Oui,8502.0,9.0,5.0,59.495183,0.0,21.0,5.0,1.0,35.0,1.0,18.0,,49.0,386287.91,31089.58,8218523.609999999,2885883.870000001,0.0,1.0,,4.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,6.0,,,,0.0,0.0,,,1.0,5.0,1.0,4.0,1.0,0.0,4.0,0.0,Illimité,0.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,253877059.85999995,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.83050847457627,0.273224043715847,2.1139840714840714,20.0,6.0,2.519164351851852,1.1916666666666669,5.491551459293395,,,,1394928.9003296704,38.5,0.0499999999999999,0.0909090909090909,3.5,21.0,0.5947712418300654,2.010989010989011,5.920765027322404,0.1153846153846153,51.0,11521784.97,20.0,0.0,6.0,16.666666666666664,1.0,1.96,16.67,2880446.2425,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4464,CR2009499,ACTIS PATRIMOINE,55.0,180.0,235.0,70.0,5.0,75.0,125.0,185.0,310.0,Illimité,,,1.123013643547893,368.0,2072.0,257038802.2499999,166.0,295.6133333333333,478.0,1138.901111111111,830.0,2222.61,1519.0,3716.190833333334,,0.0,70455999.32000002,117564541.06,69018261.87,2021-06,,,,Oui,8502.0,18.0,1.0,59.783172,0.0,22.0,5.0,1.0,35.0,1.0,18.0,,43.0,382870.53,30789.58,4502267.07,2898989.3,0.0,2.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,13.0,,,,0.0,1.0,,,2.0,4.0,1.0,3.0,1.0,0.0,4.0,0.0,Illimité,0.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,257038802.25000003,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.583333333333334,0.2717391304347826,1.7808032128514053,22.0,6.0,2.239494949494949,1.2575757575757576,6.374807987711214,,,,1389398.9310810806,39.16666666666666,0.0984848484848485,0.0936170212765957,3.6666666666666665,22.0,0.5967741935483871,1.9891891891891893,5.630434782608695,0.1189189189189189,51.66666666666666,7814916.48,50.0,0.0,5.0,40.0,2.0,1.61,40.0,2604972.16,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4465,CR2009499,ACTIS PATRIMOINE,55.0,180.0,235.0,70.0,5.0,75.0,125.0,185.0,310.0,Illimité,,,1.130378711037338,368.0,2105.0,261210900.29,113.0,131.4786111111111,422.0,748.5519444444444,807.0,1944.224444444445,1487.0,3550.844722222222,,0.0,72707584.31000008,120228277.08,68275038.90000002,2021-07,,,,Oui,8502.0,0.0,0.0,60.173898,0.0,22.0,5.0,1.0,35.0,1.0,18.0,,43.0,397554.34,32089.58,4567733.649999999,2902855.27,0.0,2.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,1.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,261210900.29000008,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.583333333333334,0.2717391304347826,1.1635275319567353,21.0,6.0,1.0434810405643735,0.8968253968253969,4.3394777265745015,,,,1411950.8123783784,39.16666666666666,0.0,0.0936170212765957,3.6666666666666665,22.0,0.5967741935483871,1.9891891891891893,5.720108695652174,0.1189189189189189,51.66666666666666,7900232.84,25.0,100.0,5.0,40.0,2.0,1.61,40.0,2633410.946666667,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4466,CR2009499,ACTIS PATRIMOINE,60.0,181.0,241.0,70.0,6.0,76.0,130.0,187.0,317.0,Illimité,,,1.1376623837277,398.0,2173.0,263981559.98,77.0,375.11583333333,362.0,825.6175,773.0,1907.2277777778,1526.0,3823.3069444444,,0.0,73717152.03,120086834.2,70177573.75,2021-08,,,,Oui,8502.0,4.0,4.0,59.932095,0.0,23.0,5.0,1.0,37.0,1.0,18.0,,43.0,390312.62,34089.58,4672432.79,2912880.3,0.0,3.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,4.0,,,,0.0,0.0,,,1.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,Illimité,1.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,263981559.98,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.979757085020244,0.2512562814070351,4.871634199134156,22.0,6.0,2.8417866161615906,0.5833333333333334,2.956989247311828,,,,1411666.0961497326,40.16666666666666,0.0303030303030303,0.0954356846473029,3.8333333333333335,23.0,0.5899053627760252,2.128342245989305,5.459798994974874,0.1229946524064171,52.833333333333336,8009715.29,25.0,100.0,5.0,40.0,2.0,1.58,40.0,2669905.0966666667,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4467,CR2009499,ACTIS PATRIMOINE,61.0,183.0,244.0,70.0,6.0,76.0,131.0,189.0,320.0,Illimité,,,1.190524605102837,404.0,2168.0,264484074.1299998,91.0,169.4977777777778,292.0,679.3338888888889,759.0,1814.993333333333,1478.0,3807.757222222222,,0.0,73543178.92000002,122304642.27,68636252.94000003,2021-09,,,,Oui,8502.0,24.0,14.0,60.900612,0.0,24.0,4.0,0.0,39.0,0.0,18.0,,43.0,380673.75,30289.58,4566677.67,2901394.72,0.0,2.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,15.0,,,,0.0,0.0,,,1.0,5.0,2.0,3.0,2.0,0.0,3.0,0.0,Illimité,0.0,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,264484074.13000005,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.6,0.0,1.8626129426129427,22.0,6.0,1.284074074074074,0.6893939393939394,3.4946236559139785,,,,1399386.6356084645,40.66666666666666,0.1136363636363636,0.0983606557377049,4.0,24.0,0.590625,2.1375661375661377,5.366336633663367,0.1269841269841269,53.333333333333336,7879035.720000001,20.0,0.0,6.0,16.666666666666664,1.0,1.88,16.67,2626345.24,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4468,CR2009499,ACTIS PATRIMOINE,63.0,184.0,247.0,69.0,6.0,75.0,132.0,190.0,322.0,Illimité,,,1.2598093356937,408.0,2174.0,266353470.65,137.0,278.64083333333,305.0,823.25444444444,727.0,1571.8063888889,1492.0,3769.3986111111,,0.0,73209779.3,122567025.88,70576665.47,2021-10,,,,Oui,8502.0,15.0,38.0,61.178837,0.0,27.0,6.0,0.0,40.0,0.0,18.0,,43.0,401428.0,31589.58,4651686.67,2906775.25,0.0,4.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,21.0,,,,0.0,0.0,,,1.0,5.0,2.0,3.0,2.0,0.0,3.0,0.0,Illimité,1.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,266353470.65,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.810276679841898,0.0,2.0338746958637226,21.0,6.0,2.211435185185159,1.0873015873015872,5.261136712749616,,,,1401860.3718421054,41.16666666666666,0.1666666666666666,0.1093117408906882,4.5,27.0,0.5900621118012422,2.147368421052632,5.328431372549019,0.1421052631578947,53.66666666666666,7991479.5,20.0,50.0,7.0,28.57142857142857,2.0,2.17,28.57,2663826.5,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4469,CR2009499,ACTIS PATRIMOINE,65.0,186.0,251.0,69.0,6.0,75.0,134.0,192.0,326.0,Illimité,,,1.292539135552943,410.0,2207.0,265428929.85,101.0,425.2736111111111,341.0,1148.474722222222,691.0,1968.964722222222,1464.0,4178.763333333333,,0.0,71002176.84000003,123305773.06,71120979.94999996,2021-11,,,,Oui,8502.0,22.0,10.0,61.252258,0.0,28.0,7.0,0.0,39.0,0.0,20.0,,43.0,406199.45,29099.58,4740842.710000001,2918749.6,0.0,3.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,6.0,,,,0.0,0.0,,,2.0,6.0,3.0,3.0,3.0,0.0,3.0,0.0,Illimité,3.0,3.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,265428929.85,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.17509727626459,0.0,4.210629812981298,20.0,6.0,3.5439467592592595,0.8416666666666667,3.878648233486943,,,,1382442.34296875,41.833333333333336,0.0499999999999999,0.1115537848605577,4.666666666666667,28.0,0.588957055214724,2.1354166666666665,5.382926829268293,0.1458333333333333,54.333333333333336,8094891.340000002,33.33333333333333,100.0,9.0,55.55555555555556,5.0,2.76,55.56,2698297.1133333337,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4470,CR2009499,ACTIS PATRIMOINE,65.0,186.0,251.0,68.0,6.0,74.0,133.0,192.0,325.0,Illimité,,,1.299239513464272,412.0,2227.0,268716672.53,101.0,234.0308333333333,339.0,1207.880277777778,620.0,1883.9725,1447.0,4091.266944444445,,0.0,71656905.11000001,123575006.7900001,73484760.62999997,2021-12,,,,Oui,8502.0,20.0,2.0,61.337954,0.0,29.0,7.0,0.0,36.0,0.0,20.0,,43.0,400271.85,32112.34,4740842.840000001,2919177.11,0.0,0.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,12.0,,,,0.0,1.0,,,0.0,5.0,2.0,3.0,3.0,0.0,3.0,0.0,Illimité,2.0,4.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,268716672.5300001,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.007782101167315,0.0,2.317136963696369,23.0,6.0,1.6958756038647342,0.7318840579710145,3.878648233486943,,,,1399566.0027604166,41.833333333333336,0.0869565217391304,0.1155378486055776,4.833333333333333,29.0,0.5907692307692308,2.145833333333333,5.405339805825243,0.1510416666666666,54.16666666666666,8092404.140000001,0.0,50.0,9.0,22.22222222222222,2.0,2.77,22.22,2697468.046666667,1.0,0.0,1.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4471,CR2009499,ACTIS PATRIMOINE,68.0,186.0,254.0,68.0,6.0,74.0,136.0,192.0,328.0,Illimité,,,1.334639842621982,412.0,2273.0,262816099.4400001,112.0,417.6730555555555,314.0,1076.9775,619.0,2170.166944444445,1426.0,4114.391388888889,,0.0,70913314.70999995,121194673.9400001,70708110.78999998,2022-01,,,,Oui,8502.0,57.0,26.0,61.485525,0.0,31.0,8.0,0.0,37.0,0.0,20.0,,43.0,386836.96,29463.31,4740843.77,2928943.25,0.0,4.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,26.0,,,,0.0,0.0,,,2.0,7.0,4.0,3.0,4.0,0.0,3.0,0.0,Illimité,1.0,3.0,3.0,1.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,262816099.44,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.23076923076923,0.0,3.72922371031746,21.0,6.0,3.3148655202821864,0.8888888888888888,4.301075268817205,,,,1368833.8512500003,42.333333333333336,0.2063492063492063,0.1220472440944882,5.166666666666667,31.0,0.5853658536585366,2.145833333333333,5.516990291262136,0.1614583333333333,54.66666666666666,8086087.289999999,28.57142857142857,33.33333333333333,10.0,30.0,3.0,3.05,30.0,2695362.43,1.0,0.0,1.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4472,CR2009499,ACTIS PATRIMOINE,71.0,186.0,257.0,71.0,6.0,77.0,142.0,192.0,334.0,Illimité,,,1.362518498674035,413.0,2320.0,264866873.9699998,101.0,325.3227777777778,321.0,1039.143333333333,655.0,2125.501388888889,1428.0,4065.936111111111,,0.0,70369407.9,125928243.8099999,68569222.26,2022-02,,,,Oui,8502.0,21.0,11.0,61.49861,0.0,32.0,11.0,0.0,39.0,0.0,20.0,,43.0,401225.48,30797.93,4740839.67,2927625.13,0.0,4.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,24.0,,,,0.0,0.0,,,2.0,7.0,4.0,3.0,4.0,0.0,3.0,0.0,Illimité,2.0,3.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,264866873.9699999,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,14.82889733840304,0.0,3.221017601760176,20.0,6.0,2.7110231481481484,0.8416666666666667,3.878648233486943,,,,1379514.968593749,42.833333333333336,0.1999999999999999,0.1245136186770428,5.333333333333333,32.0,0.5748502994011976,2.1510416666666665,5.617433414043584,0.1666666666666666,55.66666666666666,8100488.21,28.57142857142857,66.66666666666666,10.0,40.0,4.0,2.99,40.0,2700162.736666667,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
4473,CR2009499,ACTIS PATRIMOINE,77.0,188.0,265.0,71.0,6.0,77.0,148.0,194.0,342.0,Illimité,,,1.402048521675169,414.0,2334.0,264529655.2999997,78.0,290.3638888888889,292.0,1055.881944444444,630.0,2263.762222222222,1379.0,4056.984444444444,,0.0,69473303.79999998,125901837.65,69154513.85000001,2022-03,,,,Oui,8502.0,70.0,10.0,61.642517,0.0,34.0,12.0,0.0,41.0,0.0,20.0,,43.0,393195.85,30233.38,4740838.890000001,2928204.07,0.0,12.0,,3.0,0.0,5.0,Illimité,,,,,,,CGP,0.0,0.0,0.0,33.0,,,,0.0,0.0,,,3.0,7.0,4.0,3.0,4.0,0.0,3.0,0.0,Illimité,0.0,3.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,264529655.3,ACTIS PATRIMOINE,1 à 10,STRATEGIC MARKET,8502.0,Sarah ROUVREAU,Actif,2020-04,0015800000AXMbP,,,,ACTIS PATRIMOINE / CR2009499,15.129151291512915,0.0,3.72261396011396,23.0,6.0,2.10408615136876,0.5652173913043478,2.995391705069125,,,,1363554.9242268023,44.16666666666666,0.2391304347826086,0.1283018867924528,5.666666666666667,34.0,0.5672514619883041,2.134020618556701,5.63768115942029,0.1752577319587628,57.0,8092472.190000001,42.85714285714285,0.0,10.0,30.0,3.0,2.92,30.0,2697490.7300000004,0.0,0.0,0.0,1.0,Utilise O2S,0,,,Pas de groupement défini,Pas de groupement défini
